conquest_of_mocamedes_desc;The bay that the called Angra do Negro was first explored by the Portuguese in 1785, and was claimed for Portugal by Luís Cândido Cordeiro Pinheiro Furtado, who had been sent there in the frigate Loanda by the then governor-general of Angola, Baron Moçâmedes, who also sent an overland expedition headed by Gregório José Mendes to rendezvous with Furtado. It was they who renamed the bay Moçâmedes in honor of the man who had sent them. In $YEAR$ the then governor-general of Angola sent a fresh expedition to subdue the Sobas or chieftains of the region and establish them as vassals of $COUNTRY$.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
the_1854_plan_title;The Plan of $YEAR$;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
the_1854_plan_desc;"Born into a lower-middle-class family in Lille, Louis Faidherbe is a sub-director of engineers in the colonies of Senegal. He plays a central role in the implementation of ""The Plan of $YEAR$"": a series of ministerial orders given to Governor Protet of Senegal that originated in petitions from the powerful Bourdeaux-based Maurel and Prom company, the largest shipping interest in Saint-Louis. The plan specified in detail the creation of forts along the Sénégal River to end African control of the acacia gum trade from the interior. Faidherbe's push to build fortifications farther out generated conflicts with Protet, and his protests to Paris over Protet's inaction quickly awarded him some sympathy in the government. If we were to appoint him to chef de bataillon and then governor of the colony, we could quickly put the plan in action and take control of the coastal Wolof kingdoms.";;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
claim_the_north_title;Claim the Great North;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
claim_the_north_desc;The vast northern territories have long been on the rim of our control. We need to cement our claim in the area and claim the north.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cheju_treaty_port_title;The Cheju Island Concession;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
cheju_treaty_port_desc;The Cheju (or Jeju) island, south of Korea, lies in the Korea Strait between Japan and Korea. According to the local legend, three demigods emerged from Samsung which is said to have been on the northern slopes of Mt. Halla and became the progenitors of the Jeju people who founded the Kingdom of Tamna. During the Joseon Dynasty of Korea Jeju islanders were treated as foreigners and Jeju was considered as a place for horse breeding and exile for political prisoners. In the 17th Century, Injo of Joseon issued an edict prohibiting islanders from traveling to the Korean mainland. Despite the poverty, the Island would serve as a good base to exert influence over Korea and Japan and it's the place that's more likely to be ceded - the current owners don't care about it too much.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zanzibar_treaty_port_title;The Zanzibar Island Concession;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
zanzibar_treaty_port_desc;"Zanzibar, coming from zangi, a Persian name of a local people, said to mean ""black,"" and the Persian bar, which means coast or shore. The Zanzibar Archipelago consists of several islands lying off the coast of East Africa in the Indian Ocean. There are three main islands plus a number of smaller islets that surround them and an isolated tiny islet. Zanzibar is the center of the Arab slave trade and projects its power over a long strip of land in Eastern Africa. It would serve as an excellent base of operations and coaling station in East Africa.";;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
socotra_treaty_port_title;The Socotra Island Concession;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
socotra_treaty_port_desc;"A small archipelago of four islands in the Indian Ocean, Socotra has been inhabited since the 1st-century AD, appearing as Dioskouridou (""of the Dioscuri"") in the Periplus of the Erythraean Sea, a Greek navigation aid. The main city of the island is called Hadibu and with a garrison, a fort and a port, the island would be an ideal place for a coaling station for our ships coming and going from India and Eastern Africa.";;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gwadar_treaty_port_title;The Gwadar Treaty Port;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
gwadar_treaty_port_desc;"Gwadar - meaning ""The gateway of wind"" in baluchi - is a strategic warm-water deep-sea port and city located on the southwestern Arabian Sea coastline. In 1783, the Khan of Kalat Mir Noori Naseer Khan Baloch granted suzerainty over Gwadar to Taimur Sultan, the defeated ruler of Muscat. It's location would serve as a defensible and well located coaling station between India and Africa.";;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ningbo_treaty_port_title;The Ningbo Treaty Port;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ningbo_treaty_port_desc;Ningbo is one of China's oldest cities, with a history dating to the Hemudu culture in 4800 BC. Ningbo was known as a trade city on the silk road at least two thousand years ago, and then as a major port, along with Yangzhou and Guangzhou in the Tang Dynasty, thereafter, the major ports for foreign trade in the Song Dynasty. A walled city sandwiched between the ocean and low-lying mountains to the southwest, with coastal plain and valleys in between, it plays an important role in controlling the important peninsulas of Chuanshan and Xiangshan Peninsula. During the Ming and Qing Dynasties, the textile industry flourished in Ningbo.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reorganize_lebanon_title;Shuffle Lebanon's Ruling Faction;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
reorganize_lebanon_desc;Lebanon is a tangled web of religious minorities - a lot of times hostile to each other. They would serve us better if a faction that isn't hostile to our government was in power.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
organize_lebanon_title;Organize Lebanon;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
organize_lebanon_desc;We should organize the colony of Lebanon to better reflect both a local structure, as well as set up the possibility for autonomous rule -- dominated by our chosen group, of course.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kwangchowan_treaty_port_title;The Kwangchowan Treaty Port;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
kwangchowan_treaty_port_desc;"Kwangchowan - meaning ""Guangzhou Bay"" - is situated in Guangdong Province (Kwangtung Province) on the east side of the Leizhou Peninsula, north of Hainan. The bay of Kwangchowan and the villages and cities in it could provide a good source of income. Right now the cities are commercially unimportant but strategically located, so it can grow to rival the most profitable cities in China.";;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hainan_treaty_port_title;The Hainan Treaty Port;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hainan_treaty_port_desc;The city of Zhuya (Shore of Pearls), name for the famous pearl fisheries of the region, now known as Qiongshan is an important stop to Shanghai and Formosa. Controlling it would give control over all of Hainan and would make an important coaling station.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
taipei_treaty_port_title;The Taiwan Concession;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
taipei_treaty_port_desc;The Taipei area is where the major Han Chinese settlements in northern Taiwan and one of the designated overseas trade ports, Tamsui, are located. The area gained economic importance due to the booming overseas trade, especially that of tea export. Controlling it would mean controlling Taiwan and a good amount of the tea trade.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jiaxing_treaty_port_title;The Jiaxing Treaty Port;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
jiaxing_treaty_port_desc;Jiaxing is well known as the 'hometown of silk' and it's a famous producer of textiles and woolens. While not being as important as neighboring Shanghai, its acquisition would surely help our textile industry.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
weihaiwei_treaty_port_title;The Weihaiwei Treaty Port;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
weihaiwei_treaty_port_desc;The port of Weihaiwei serves as the base for the Beiyang Fleet (Northern Seas Fleet) for the Qing Dynasty. Along with Lüshun, it provides a strategic point for the control of the Korea Bay and the Bohai Gulf. Controlling it would put our fleets at the door of the imperial capital of China.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
lushun_treaty_port_title;The Lüshun Treaty Port;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
lushun_treaty_port_desc;Sprawling around the narrowest neck of the Liaodong Peninsula, occupying the Southern Tip, Lüshun, also known as Port Arthur, is in a crucial point. It guards the entrance the Imperial Capital of China and the Bohai Sea. Controlling it would provide a strategical hold on the Bohai Gulf and the Korean Bay.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
qingdao_treaty_port_title;The Qingdao Treaty Port;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
qingdao_treaty_port_desc;Qingdao is a sleepy fishing town undergoing dramatic changes - a naval station and garrisons were built by the rulers of the Qing dynasty and the increasing presence of western ships is increasing its importance. It would be an splendid gateway to northern China.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
shanghai_treaty_port_title;The Shanghai Treaty Port;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
shanghai_treaty_port_desc;For centuries a major administrative, shipping, and trading town, Shanghai grew in importance in the 19th century due to European recognition of its favorable port location and economic potential. This potential can be fully realized under $COUNTRY_ADJ$ administration.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hong_kong_treaty_port_title;The Hong Kong Treaty Port;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hong_kong_treaty_port_desc;China is the main supplier of its native tea to Europe, whose annual domestic consumption reached 30,046,935 pounds (13,629,060 kg) in 1830, an average of 1.036 pounds (0.470 kg) per head of population. From the $COUNTRY_ADJ$ economic standpoint, Chinese tea was a crucial item since it provides massive wealth for the taipans — foreign (especially $COUNTRY_ADJ$) businessmen in China — while the duty on tea accounted for 10% of the government's income. With a base in Hong Kong our tea and opium trade will profit immensely and the city will, without a doubt, bring us a lot of profit.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
macao_treaty_port_title;The Macao Treaty Port;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
macao_treaty_port_desc;Macao lies on the western side of the Pearl River Delta across from Hong Kong. If we are to access the riches of Guangdong and the south of China, controlling Macao would be a good start.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
qeshm_treaty_port_title;The Qeshm Treaty Port;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
qeshm_treaty_port_desc;Located in a central point in the Hormuz Strait, the island and city of Qeshm serves as a vital route and trade link to India, East Africa and Persia. Its position in the Persian Gulf is central for the control of the Hormuz Strait.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ifni_treaty_port_title;The Ifni Treaty Port;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ifni_treaty_port_desc;The Ait Baamran tribe has long inhabited the small town of Ifni and the region surrounding it. They work in husbandry and trade with Europeans and northern Morocco being intermediaries in the trans-Saharan trade. Ifni would serve as an excellent coaling station to central and south Sahara.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
russification_of_finland_title;The Russification of Finland;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
russification_of_finland_desc;"Having enjoyed prosperity and control over their own affairs, and having remained loyal subjects for nearly a century, the manifesto which the $MONARCHTITLE$ issued on $YEAR$ was cause for Finnish despair. The manifesto was forced through the Finnish senate by the deciding vote of the senate president, an appointee of the $MONARCHTITLE$ — and after the governor-general of Finland, Nikolay Bobrikov, had threatened a military invasion and siege. While ostensibly affirming the Finns' rights in purely local matters, the manifesto asserted the authority of the state in any and all matters which could be considered to ""come within the scope of the general legislation of the empire"". The main policies enacted were:\nThe conscription law, incorporating the Finnish army into the imperial army.\nThe Language Manifesto of $YEAR$ which made Russian the language of administration of Finland.\nThe Orthodox Russian Church was the church of state, including, for example, criminalizing the act of subjecting a follower of the Orthodox church to a Lutheran church service.\nThe Manifesto of $YEAR$ which asserted the imperial government's right to rule Finland without the consent of local legislative bodies, including press censorship and restrictions of Russian currency and stamps as the only ones allowed.\nOur Finnish subjects will surely not like this and they might try to resist.";;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
force_neuchatel_issue_title;Press our Claims in Neuchatel;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
force_neuchatel_issue_desc;We can try to pressure Switzerland over our claim in Neuchatel to finally settle the issue over the ownership of the territory. This will, however, anger the Great Powers of Europe.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
access_to_the_rhine_title;Access to the Rhineland;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;
access_to_the_rhine_desc;Relations with the ruler of Kassel have been shaky for some time, improving or deteriorating in these turbulent times. Due to conditions beyond our control, they are now forbidding our troops from marching through Kassel to annex our western provinces. This is a direct challenge to $COUNTRY$, which under conventions with the elector has the right to the use of the military roads through Hesse that are our sole means of communication with our Rhine provinces. We can't be cut off like this - immediate action is necessary to secure access to the Rhine.;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;
build_the_cnr1_title;First Stage of the CNR;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
build_the_cnr1_desc;The first stage of the Canadian National Railway, linking Winnipeg to the Atlantic Coast, has been completed. Now work must begin on the second stage, which will be considerably more difficult.;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
build_the_cnr2_title;Second Stage of the CNR;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
build_the_cnr2_desc;The second stage of the Canadian National Railway, linking Calgary to the Atlantic Coast, has been completed. Now work must begin on the last stage, which will be the longest and most difficult yet as it requires creating a pass through the Rocky Mountains themselves.;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
build_the_cnr3_title;Finish the CNR;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
build_the_cnr3_desc;After a massive effort expended to create a pass through the Rocky Mountains, the Canadian National Railway has been completed! A single railway now links the Pacific coast to the Atlantic. Crowds have gathered in $CAPITAL$ to celebrate the first locomotive being sent to make the complete journey!;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
cede_aden_title;Cede Aden to Yemen;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
cede_aden_desc;In order to cement our relation with Yemen we should further our decolonization efforts and cede Aden to them. It will mean the loss of a strategic important port, but it will improve our reputation in the eyes of the other powers of the world.;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
establish_writting_system_title;Adopt a Writing System;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
establish_writting_system_desc;Our society has worked without a writing system for centuries. The foreign missionaries use these symbols to communicate with each other and to leave notes. If we were to, with their help, codify our language and teach our people, maybe we can become as powerful as the countries they come from.;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
tasmania_penal_colony_title;Van Diemen's Land Penal Colony;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
tasmania_penal_colony_desc;In 1803 the island south of Australia was colonized by the British as a penal colony with the name Van Diemen's Land, and became part of the British colony of New South Wales. Male convicts served their sentences as assigned labor to free settlers or in gangs assigned to public works. Only the most difficult convicts (mostly re-offenders) were sent to the Tasman Peninsula prison known as Port Arthur. Female convicts were assigned as servants in free settler households or sent to a female factory (women's workhouse prison). There were five female factories in Van Diemen's Land. Convicts completing their sentences or earning their ticket-of-leave often promptly left Van Diemen's Land. Many settled in the new free colony of Victoria, to the dismay of the free settlers in towns such as Melbourne.\n\nWe can abolish the penal colony and convert the island to a regular colony. Changing the name to Tasmania from Van Diemen's Land should help our government to clear a little bit of the stigma that the island has.;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
claim_argentina_chaco_title;Claim the Argentinian Chaco;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
claim_argentina_chaco_desc;The Gran Chaco has been a disputed territory since 1810. Officially, it was supposed to be part of Argentina, Bolivia and Paraguay, although a bigger land portion west of the Paraguay River has belonged to Paraguay since its independence. It's for us to make good on our claims in the area.;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
UBD_germans_accepted_title;Restore the Baltic German Nobility;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
UBD_germans_accepted_desc;Baltic Germans have lived in the Baltic States for a long time and while they were once one of the dominant forces in the region, they no longer hold any power in the government or society. As the Baltic States are under our protection and control, we should reinstall the German nobility to serve us better.;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
add_lithuania_baltic_states_title;Integrate Lithuania in the Baltic States;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
add_lithuania_baltic_states_desc;Although not considered part of the Baltic States proper, Lithuania is small enough to be added to the Baltic Administration. This wouldn't please the Lithuanians at all and the only way it can be done is through force, but it would make managing our Baltic Allies easier.;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850_compromise_title;The $YEAR$ Compromise;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
1850_compromise_desc;Senators Henry Clay and Stephen A. Douglas have presented a draft proposal for a compromise on the slavery issue centered around the premise of popular sovereignty as the determinant for slavery or abolitionism in the territories. By supporting the draft proposal, we could calm tensions over the slavery issue for at least some time. The compromise is a package of five separate bills which will defuse a four-year political confrontation between slave and free states regarding the status of territories acquired during the Mexican-American War. The mains points are:\n1. Texas surrenders its claim to New Mexico, over which it had threatened war, as well as its claims north of the Missouri Compromise Line. It retains the Texas Panhandle and the federal government will took over the state's public debt.\n2. California is admitted as a free state with its current boundaries.\n3.The Wilmot Proviso will be fully rejected.\n4.The slave trade (but not slavery altogether) will be banned in Washington D.C.;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
conquer_conakry_title;The Conakry Protectorate;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
conquer_conakry_desc;Since the 18th century, Portuguese, British and French traders had established small stations on the coast which was called Rivières du Sud by the French. The Portuguese had trading stations at Rio Pongo and Rio Nunez, mostly for the purchase of enslaved Africans captured inland and brought to the coast. By 1820, British suppression of the slave trade and Portuguese imperial decline saw these posts abandoned, with British and French traders moving in. The French admiral Bouët-Willaumez made a number of treaties with coastal communities in the area (usually under the threat of force), and ensured Marseilles based trade houses exclusive access to the palm oil trade by the 1840s. Used for making soap, the palm oil trade was with Diola merchants who established markets in the interior, and transported it to the coastal stations. We can formalize the colonial structure of these trade posts and routes to effectively take control of Conakry.;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
senegal_gambia_border_treaty_title;The Senegal-Guinea Border Treaty;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
senegal_gambia_border_treaty_desc;A dispute arose with another country over our colonial borders in Senegal and Guinea. $COUNTRY_ADJ$ citizens poured and live in Ziguinchor province. According to the principles of Effective Occupation established in Conference of Berlin, the territory belong to us. But it has been under rule of another nation for a long time and thus the dispute arose. Our diplomats are trying to organize an exchange - Gabu for Ziguinchor, now we just need to propose this deal to our good neighbors.;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
effective_occupation_western_sahara_title;The Occupation of Western Sahara;;;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;
effective_occupation_western_sahara_desc;"While in the Berlin Conference, whereat the European powers were establishing the rules for setting up zones of influence or protection in Africa was ongoing, $COUNTRY$ declared ""a protectorate of the African coast"" from Cape Blanc to Cape Bojador on $YEAR$. Under the principle of Effective Occupation established by the Berlin Conference, the need to effectively control the area to have the claim recognized was established, and that's what $COUNTRY$ is doing.";;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
austro_hungarian_border_treaty_title;The Austrian - Hungarian Border Treaty;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
austro_hungarian_border_treaty_desc;Our diplomats are drafting a friendship and border treaty between ourselves and our neighbors, to settle outstanding issues between the perceived territory of the two countries. The treaty would include population exchanges, border delimitation and a treaty of friendship. If we sign this deal it will also show the world our will to settle issues diplomatically and our government respect of the will of the people.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
claim_fiume_title;The Fiume Question;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
claim_fiume_desc;Although Croatia had constitutional autonomy within Hungary, the City of Fiume was independent, governed (as a corpus separatum) directly from Budapest by an appointed governor, as Hungary's only international port. Our claims and ties to Fiume are strong and its naval base and port would play an important role in serving us.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abolish_italian_minors_title;The Italian States;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
abolish_italian_minors_desc;The unification of Italy wasn't a smooth process and the result was local autonomy in the old states that composed Italy. We need an united nation and to accomplish that we must abolish local self rule and privileges.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
canadian_lands_title;The Canadian Lands;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
canadian_lands_desc;Some of the lands claimed by our Canadian dominion are still under our direct control, and transferring sovereignty to them would greatly help our relations.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
guantanamo_bay_lease_title;The Guantanamo Bay Lease;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
guantanamo_bay_lease_desc;The Guantanamo Bay in the island of Cuba is the largest natural harbor on the south side of the island and it is surrounded by steep hills which create an enclave that is cut off from its immediate hinterland. It would make an excellent coaling station and it's natural harbor would allow for ships to stay there during the hurricane seasons while allowing us to project our power in the Caribbean. Some of our best diplomats can prepare a lease document to justify our use of such strategic territory.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
selling_danish_virgin_islands_title;Buy the Virgin Islands;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
selling_danish_virgin_islands_desc;The Virgin Islands were originally inhabited by the Arawak, Carib, and Cermic, all of whom are thought to have perished during the colonial period. The owner of the islands of St. Thomas, Saint John and Saint Croix, the Virgin Islands we are looking to buy, are poorly managing them for decades, and now they are costing them money - a lot. There are still some elements that resist selling the islands to us but - with the right conditions - we might be able to make an offer they can't deny.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
brazilian_rubber_boom_title;Encourage the Amazon Rubber Boom;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
brazilian_rubber_boom_desc;The rubber boom or Ciclo da borracha was an important part of the economic and social history of Brazil and Amazonian regions of neighboring countries, being related to the extraction and commercialization of rubber. Centered in the Amazon Basin, the boom resulted in a large expansion of European colonization in the area, attracting immigrant workers, generating wealth and causing cultural and social transformations. It encouraged the growth of cities such as Manaus, Porto Velho, and Belém, capitals within the respective Brazilian states of Amazonas, Rondônia and Pará.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
organize_namibia_title;Organize Namibia;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
organize_namibia_desc;We should organize the African colonies to better reflect both a local structure, as well as set up the possibility for autonomous rule -- dominated by our benevolent colonial administrators, of course.;;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
